Step	Time	I	E
10	239.0	0.0	3.9614
10	240.0	0.0	3.9614
10	241.0	0.0	3.9614
10	242.0	0.0	3.9614
10	243.0	0.0	3.9614
10	244.0	0.0	3.9614
10	245.0	0.0	3.9614
10	246.0	0.0	3.9614
10	247.0	0.0	3.9614
10	248.0	0.0	3.9614
10	249.0	0.0	3.9614
10	250.0	0.0	3.9614
10	251.0	0.0	3.9614
10	252.0	0.0	3.9614
10	253.0	0.0	3.9614
10	254.0	0.0	3.9614
10	255.0	0.0	3.9614
10	256.0	0.0	3.9617
10	257.0	0.0	3.9614
10	258.0	0.0	3.9617
10	259.0	0.0	3.9614
10	260.0	0.0	3.9614
10	261.0	0.0	3.9614
10	262.0	0.0	3.9617
10	263.0	0.0	3.9614
10	264.0	0.0	3.9614
10	265.0	0.0	3.9617
10	266.0	0.0	3.9617
10	267.0	0.0	3.9617
10	268.0	0.0	3.9617
10	269.0	0.0	3.9617
10	270.0	0.0	3.9617
10	271.0	0.0	3.9617
10	272.0	0.0	3.9617
10	273.0	0.0	3.9617
10	274.0	0.0	3.9617
10	275.0	0.0	3.9617
10	276.0	0.0	3.9617
10	277.0	0.0	3.9617
10	278.0	0.0	3.9617
10	279.0	0.0	3.9617
10	280.0	0.0	3.9617
10	281.0	0.0	3.9617
10	282.0	0.0	3.9617
10	283.0	0.0	3.9617
10	284.0	0.0	3.9617
10	285.0	0.0	3.9617
10	286.0	0.0	3.9617
10	287.0	0.0	3.9617
10	288.0	0.0	3.9617
10	289.0	0.0	3.9617
10	290.0	0.0	3.9617
10	291.0	0.0	3.9617
10	292.0	0.0	3.9617
10	293.0	0.0	3.9617
10	294.0	0.0	3.962
10	295.0	0.0	3.962
10	296.0	0.0	3.9617
10	297.0	0.0	3.962
10	298.0	0.0	3.9617
10	299.0	0.0	3.962
10	300.0	0.0	3.962
10	301.0	0.0	3.9617
10	302.0	0.0	3.9617
10	303.0	0.0	3.962
10	304.0	0.0	3.9617
10	305.0	0.0	3.962
10	306.0	0.0	3.962
10	307.0	0.0	3.962
10	308.0	0.0	3.9617
10	309.0	0.0	3.962
10	310.0	0.0	3.962
10	311.0	0.0	3.962
10	312.0	0.0	3.962
10	313.0	0.0	3.962
10	314.0	0.0	3.962
10	315.0	0.0	3.962
10	316.0	0.0	3.962
10	317.0	0.0	3.962
10	318.0	0.0	3.962
10	319.0	0.0	3.962
10	320.0	0.0	3.962
10	321.0	0.0	3.962
10	322.0	0.0	3.962
10	323.0	0.0	3.962
10	324.0	0.0	3.962
10	325.0	0.0	3.962
10	326.0	0.0	3.962
10	327.0	0.0	3.962
10	328.0	0.0	3.962
10	329.0	0.0	3.962
10	330.0	0.0	3.962
10	331.0	0.0	3.962
10	332.0	0.0	3.962
10	333.0	0.0	3.962
10	334.0	0.0	3.962
10	335.0	0.0	3.962
10	336.0	0.0	3.962
10	337.0	0.0	3.962
10	338.0	0.0	3.962
10	339.0	0.0	3.962
10	340.0	0.0	3.962
11	350.0	0.0	3.962
11	360.0	0.0	3.962
11	370.0	0.0	3.962
11	380.0	0.0	3.962
11	390.0	0.0	3.9623
11	400.0	0.0	3.9623
11	410.0	0.0	3.9623
11	420.0	0.0	3.9623
11	430.0	0.0	3.9623
11	440.0	0.0	3.9623
11	450.0	0.0	3.9623
11	460.0	0.0	3.9623
11	470.0	0.0	3.9626
11	480.0	0.0	3.9623
11	490.0	0.0	3.9626
11	500.0	0.0	3.9626
11	510.0	0.0	3.9626
11	520.0	0.0	3.9626
11	530.0	0.0	3.9626
11	540.0	0.0	3.9626
11	550.0	0.0	3.9626
11	560.0	0.0	3.9626
11	570.0	0.0	3.9626
11	580.0	0.0	3.9626
11	590.0	0.0	3.9626
11	600.0	0.0	3.9626
11	610.0	0.0	3.9626
11	620.0	0.0	3.9626
11	630.0	0.0	3.9626
11	640.0	0.0	3.9626
11	650.0	0.0	3.9626
11	660.0	0.0	3.9626
11	670.0	0.0	3.9626
11	680.0	0.0	3.9626
11	690.0	0.0	3.9626
11	700.0	0.0	3.9626
11	710.0	0.0	3.9629
11	720.0	0.0	3.9626
11	730.0	0.0	3.9626
11	740.0	0.0	3.9629
11	750.0	0.0	3.9626
